Vertice: 1, Nivel: 0, Pai: 1
Vertice: 15261, Nivel: 1, Pai: 15261
Vertice: 15257, Nivel: 1, Pai: 15257
Vertice: 15241, Nivel: 1, Pai: 15241
Vertice: 15209, Nivel: 1, Pai: 15209
Vertice: 15194, Nivel: 1, Pai: 15194
Vertice: 15190, Nivel: 1, Pai: 15190
Vertice: 15184, Nivel: 1, Pai: 15184
Vertice: 15182, Nivel: 1, Pai: 15182
Vertice: 15180, Nivel: 1, Pai: 15180
Vertice: 15154, Nivel: 1, Pai: 15154
Vertice: 15151, Nivel: 1, Pai: 15151
Vertice: 15146, Nivel: 1, Pai: 15146
Vertice: 15136, Nivel: 1, Pai: 15136
Vertice: 15135, Nivel: 1, Pai: 15135
Vertice: 15127, Nivel: 1, Pai: 15127
Vertice: 15102, Nivel: 1, Pai: 15102
Vertice: 15097, Nivel: 1, Pai: 15097
Vertice: 15076, Nivel: 1, Pai: 15076
Vertice: 15055, Nivel: 1, Pai: 15055
Vertice: 15020, Nivel: 1, Pai: 15020
Vertice: 15012, Nivel: 1, Pai: 15012
Vertice: 14996, Nivel: 1, Pai: 14996
Vertice: 14985, Nivel: 1, Pai: 14985
Vertice: 14984, Nivel: 1, Pai: 14984
Vertice: 14960, Nivel: 1, Pai: 14960
Vertice: 14959, Nivel: 1, Pai: 14959
Vertice: 14919, Nivel: 1, Pai: 14919
Vertice: 14855, Nivel: 1, Pai: 14855
Vertice: 14827, Nivel: 1, Pai: 14827
Vertice: 14826, Nivel: 1, Pai: 14826
Vertice: 14777, Nivel: 1, Pai: 14777
Vertice: 14756, Nivel: 1, Pai: 14756
Vertice: 14742, Nivel: 1, Pai: 14742
Vertice: 14715, Nivel: 1, Pai: 14715
Vertice: 14709, Nivel: 1, Pai: 14709
Vertice: 14690, Nivel: 1, Pai: 14690
Vertice: 14681, Nivel: 1, Pai: 14681
Vertice: 14657, Nivel: 1, Pai: 14657
Vertice: 14634, Nivel: 1, Pai: 14634
Vertice: 14544, Nivel: 1, Pai: 14544
Vertice: 14527, Nivel: 1, Pai: 14527
Vertice: 14502, Nivel: 1, Pai: 14502
Vertice: 14421, Nivel: 1, Pai: 14421
Vertice: 14389, Nivel: 1, Pai: 14389
Vertice: 14362, Nivel: 1, Pai: 14362
Vertice: 14293, Nivel: 1, Pai: 14293
Vertice: 14284, Nivel: 1, Pai: 14284
Vertice: 14281, Nivel: 1, Pai: 14281
Vertice: 14262, Nivel: 1, Pai: 14262
